ID_Invoice;ID_Produk;ID_Cabang;Tipe_pelanggan;Total;Tanggal;Waktu;Pembayaran;Penilaian
272-65-1806;660008;A;Normal;575.316;1/15/2019;17:17:00;Ewallet;4.7
333-73-7901;330009;C;Normal;461.328;3/23/2019;13:24:00;Ewallet;7.6
777-82-7220;220006;B;Member;253.008;03/03/2019;13:01:00;Cash;7.7
280-35-5823;220007;B;Member;91.056;1/17/2019;18:45:00;Ewallet;7.9
554-53-8700;220008;C;Member;117.831;02/02/2019;10:11:00;Cash;6.3
354-25-5821;110009;B;Member;435.456;02/08/2019;13:03:00;Cash;5.6
228-96-1411;440006;C;Member;829.08;03/04/2019;20:39:00;Cash;7.6
617-15-4209;330010;C;Member;32.277;3/16/2019;19:47:00;Cash;7.2
132-32-9879;660009;B;Member;394.632;03/09/2019;18:00:00;Cash;9.5
370-41-7321;330011;B;Member;5.357.205;2/27/2019;17:24:00;Credit card;8.4
727-46-3608;440007;B;Member;1.890.945;02/06/2019;15:47:00;Ewallet;4.1
669-54-1719;660010;B;Member;119.259;02/10/2019;12:45:00;Credit card;8.1
574-22-5561;550005;C;Member;867.615;3/19/2019;17:08:00;Ewallet;7.9
326-78-5178;440008;C;Member;671.79;02/03/2019;10:19:00;Cash;9.5
162-48-8011;440009;A;Member;2.340.975;02/10/2019;15:10:00;Cash;8.5
616-24-2851;550006;B;Member;75.054;3/22/2019;14:42:00;Ewallet;6.5
778-71-5554;550007;C;Member;162.015;1/25/2019;15:46:00;Credit card;6.1
242-55-6721;220009;B;Normal;33.936;03/07/2019;11:49:00;Ewallet;6.5
399-46-5918;660011;C;Normal;722.232;2/28/2019;19:01:00;Cash;8.2
106-35-6779;220010;A;Member;93.114;3/27/2019;11:26:00;Cash;5.8
635-40-6220;330012;A;Normal;752.64;02/07/2019;11:28:00;Ewallet;6.6
817-48-8732;220011;A;Member;759.675;1/20/2019;15:55:00;Cash;5.4
120-06-4233;660012;C;Normal;192.843;03/12/2019;20:36:00;Cash;9.3
285-68-5083;110010;C;Member;77.931;2/15/2019;17:47:00;Credit card;10
803-83-5989;220012;C;Normal;351.099;2/24/2019;10:55:00;Ewallet;7
347-34-2234;110011;B;Member;5.204.115;02/03/2019;13:40:00;Ewallet;10
199-75-8169;110012;A;Member;166.005;03/06/2019;12:27:00;Credit card;8.6
853-23-2453;330013;B;Member;318.108;2/14/2019;14:35:00;Cash;7.6
877-22-3308;330014;A;Member;166.635;3/13/2019;16:40:00;Cash;5.8
838-78-4295;330015;C;Normal;70.287;02/10/2019;15:43:00;Ewallet;6.7
109-28-2512;550008;B;Member;614.943;01/07/2019;15:01:00;Ewallet;9.9
232-11-3025;110013;A;Normal;827.085;1/24/2019;10:04:00;Cash;6.4
382-03-4532;330016;A;Member;192.465;02/02/2019;18:50:00;Cash;4.3
393-65-2792;440010;C;Normal;939.54;01/06/2019;12:46:00;Credit card;9.6
796-12-2025;550009;C;Normal;652.26;02/11/2019;16:19:00;Cash;5.9
510-95-6347;440011;B;Member;152.838;03/05/2019;18:17:00;Ewallet;4
841-35-6630;660013;C;Normal;478.233;03/09/2019;18:21:00;Cash;8.7
287-21-9091;220013;A;Normal;7.056.315;1/22/2019;10:55:00;Ewallet;9.4
732-94-0499;660014;C;Normal;437.325;1/13/2019;17:04:00;Credit card;5.4
263-10-3913;550010;C;Member;463.428;01/09/2019;14:20:00;Credit card;8.6
381-20-0914;550011;A;Member;1.890.945;01/12/2019;15:48:00;Credit card;5.7
829-49-1914;440012;C;Member;822.255;03/05/2019;16:24:00;Ewallet;6.6
756-01-7507;330017;C;Normal;106.995;1/22/2019;18:56:00;Cash;6
870-72-4431;330018;C;Normal;624.897;1/21/2019;14:42:00;Credit card;5.5
847-38-7188;440013;B;Normal;304.542;1/26/2019;19:56:00;Ewallet;6.4
480-63-2856;440014;C;Normal;161.7;1/23/2019;18:37:00;Ewallet;6.6
787-56-0757;440015;C;Member;337.512;2/23/2019;18:45:00;Credit card;8.3
360-39-5055;110014;C;Member;2.567.775;03/09/2019;10:17:00;Cash;6.6
730-50-9884;110015;C;Normal;610.491;03/05/2019;14:31:00;Ewallet;4
362-58-8315;550012;C;Normal;401.73;3/25/2019;10:23:00;Cash;9.9
633-44-8566;440016;A;Member;362.943;3/27/2019;20:35:00;Credit card;7.3
504-35-8843;110016;A;Normal;445.935;01/02/2019;16:57:00;Cash;5.7
318-68-5053;330019;B;Normal;485.037;2/27/2019;17:55:00;Cash;6.1
565-80-5980;220014;C;Member;198.996;1/23/2019;10:25:00;Cash;7.1
225-32-0908;110017;C;Normal;471.03;1/26/2019;19:54:00;Ewallet;8.2
873-51-0671;110018;A;Member;161.553;01/10/2019;16:42:00;Ewallet;5.1
152-08-9985;330020;B;Member;608.202;03/12/2019;12:09:00;Credit card;8.6
512-91-0811;330021;C;Normal;942.375;02/06/2019;20:05:00;Credit card;6.6
594-34-4444;660015;A;Normal;102.018;03/08/2019;20:38:00;Ewallet;7.2
766-85-7061;330022;B;Normal;922.635;3/29/2019;10:25:00;Ewallet;5.1
871-39-9221;660016;C;Normal;78.435;02/09/2019;13:11:00;Cash;4.1
865-92-6136;440017;A;Normal;1.661.625;3/23/2019;10:16:00;Ewallet;9.3
733-01-9107;220015;B;Normal;521.01;03/05/2019;18:14:00;Cash;7.4
163-56-7055;550013;C;Member;511.455;3/26/2019;19:20:00;Cash;4.1
189-98-2939;550014;C;Normal;7.422.975;03/01/2019;13:22:00;Cash;7.2
551-21-3069;660017;C;Normal;2.180.115;02/01/2019;11:27:00;Cash;4.9
212-62-1842;440018;A;Normal;367.038;3/28/2019;16:44:00;Cash;9.9
716-39-1409;330023;B;Normal;2.230.725;3/19/2019;18:19:00;Cash;8
704-48-3927;660018;A;Member;931.035;01/12/2019;14:50:00;Ewallet;7.3
628-34-3388;550015;C;Normal;172.494;01/05/2019;20:54:00;Credit card;7.9
630-74-5166;110019;A;Normal;391.419;3/22/2019;20:19:00;Cash;7.4
588-01-7461;440019;C;Normal;321.111;3/24/2019;10:43:00;Cash;4.2
861-77-0145;660019;C;Member;860.685;03/03/2019;14:30:00;Cash;9.2
479-26-8945;110020;B;Member;34.629;02/05/2019;11:32:00;Ewallet;4.6
210-67-5886;330024;C;Member;3.093.615;02/05/2019;10:41:00;Credit card;7.8
227-78-1148;550016;B;Normal;535.374;2/15/2019;12:44:00;Cash;8.4
645-44-1170;220016;A;Member;5.487.615;1/19/2019;20:07:00;Ewallet;4.3
237-01-6122;220017;C;Member;7.634.655;02/01/2019;20:31:00;Credit card;9.5
225-98-1496;550017;C;Normal;85.113;03/02/2019;13:01:00;Credit card;7.1
291-32-1427;550018;B;Member;115.185;03/05/2019;12:29:00;Ewallet;5.3
659-65-8956;550019;B;Member;53.928;1/16/2019;15:26:00;Ewallet;5.2
642-32-2990;440020;A;Normal;115.08;02/02/2019;20:48:00;Ewallet;6
378-24-2715;220018;B;Normal;112.224;1/20/2019;20:38:00;Ewallet;4.1
638-60-7125;660020;A;Normal;836.304;2/14/2019;17:03:00;Credit card;5.2
659-36-1684;110021;C;Member;419.832;01/12/2019;12:02:00;Credit card;6.5
219-22-9386;110022;B;Member;944.622;03/09/2019;17:26:00;Credit card;4.2
336-78-2147;220019;C;Member;536.844;3/13/2019;19:52:00;Credit card;4.6
268-27-6179;550020;B;Member;474.348;03/09/2019;14:57:00;Ewallet;7.3
668-90-8900;220020;A;Normal;6.886.215;03/10/2019;18:44:00;Credit card;4.5
870-54-3162;110023;A;Normal;1.693.125;1/27/2019;13:26:00;Cash;9
189-08-9157;550021;C;Normal;2.998.485;01/08/2019;16:17:00;Credit card;5.9
663-86-9076;440021;C;Member;575.736;01/08/2019;15:57:00;Ewallet;8.5
549-84-7482;110024;B;Normal;853.146;02/08/2019;11:15:00;Ewallet;7.2
191-10-6171;550022;B;Normal;291.207;1/25/2019;13:18:00;Cash;7.5
802-70-5316;110025;A;Member;580.419;03/06/2019;20:34:00;Cash;8.3
695-51-0018;110026;B;Normal;146.328;02/10/2019;18:36:00;Cash;7.4
590-83-4591;660021;B;Member;550.935;2/17/2019;14:40:00;Credit card;8.8
483-71-1164;330025;C;Normal;512.19;03/08/2019;16:43:00;Ewallet;5.3
597-78-7908;550023;C;Normal;284.193;2/18/2019;19:39:00;Cash;6.2
700-81-1757;660022;A;Normal;1.381.275;1/18/2019;20:59:00;Credit card;8.8
354-39-5160;220021;A;Member;216.846;2/18/2019;15:39:00;Cash;9.8
241-72-9525;110027;B;Normal;545.055;2/16/2019;12:21:00;Cash;8.2
575-30-8091;110028;A;Normal;609;3/16/2019;19:25:00;Ewallet;9.2
731-81-9469;110029;C;Member;942.9;1/23/2019;13:00:00;Credit card;5.4
280-17-4359;330026;C;Member;950.25;1/25/2019;13:48:00;Cash;8.1
338-65-2210;330027;C;Member;720.3;02/05/2019;19:57:00;Cash;9.1
488-25-4221;440022;C;Member;319.305;2/22/2019;10:36:00;Credit card;8.4
239-10-7476;220022;A;Normal;491.085;1/21/2019;16:37:00;Ewallet;8
458-41-1477;330028;C;Normal;291.438;03/08/2019;17:11:00;Credit card;9.5
685-64-1609;550024;A;Member;316.47;02/10/2019;12:28:00;Ewallet;9.2
568-90-5112;330029;C;Normal;277.788;3/19/2019;12:46:00;Credit card;5.6
262-47-2794;220023;B;Member;603.624;03/06/2019;15:07:00;Credit card;6.2
238-49-0436;330030;A;Normal;272.664;3/27/2019;13:48:00;Credit card;4.9
608-96-3517;550025;B;Member;384.468;3/23/2019;19:20:00;Credit card;4.8
584-86-7256;110030;C;Member;254.016;03/11/2019;16:07:00;Credit card;7.3
746-94-0204;550026;A;Normal;786.618;1/29/2019;11:56:00;Credit card;7.4
214-17-6927;440023;C;Normal;103.824;02/07/2019;18:23:00;Ewallet;9.9
400-89-4171;110031;C;Normal;680.148;1/28/2019;13:05:00;Cash;9.3
782-95-9291;440024;A;Member;4.845.225;2/20/2019;15:55:00;Credit card;9
279-74-2924;660023;B;Member;757.785;01/04/2019;19:40:00;Cash;6.1
307-85-2293;220024;B;Normal;263.97;03/07/2019;13:58:00;Ewallet;9.7
743-04-1105;330031;B;Member;918.729;3/30/2019;14:43:00;Ewallet;6
423-57-2993;110032;B;Normal;588.357;3/27/2019;19:18:00;Ewallet;10
894-41-5205;440025;C;Normal;362.712;1/19/2019;19:39:00;Credit card;8.3
275-28-0149;110033;A;Normal;668.745;2/25/2019;16:21:00;Cash;6
101-17-6199;440026;A;Normal;3.365.565;3/13/2019;19:44:00;Credit card;7
423-80-0988;110034;C;Normal;160.44;1/30/2019;19:42:00;Ewallet;6.5
548-46-9322;440027;B;Normal;418.95;2/20/2019;15:24:00;Credit card;5.9
505-02-0892;330032;B;Member;357.588;2/25/2019;14:12:00;Ewallet;5.6
234-65-2137;220025;C;Normal;1003.59;1/16/2019;13:32:00;Cash;4.8
687-47-8271;550027;A;Normal;1039.29;02/08/2019;16:20:00;Credit card;8.7
796-32-9050;440028;A;Normal;323.064;1/19/2019;16:31:00;Cash;6.5
105-31-1824;110035;A;Member;510.972;02/01/2019;15:10:00;Credit card;8.5
249-42-3782;330033;A;Normal;3.675.525;01/03/2019;11:36:00;Ewallet;5.5
316-55-4634;440029;B;Member;4.202.625;1/26/2019;12:45:00;Credit card;9.4
733-33-4967;660024;C;Normal;175.14;03/03/2019;19:17:00;Cash;6.3
608-27-6295;660025;B;Member;333.207;1/19/2019;17:34:00;Credit card;9.8
414-12-7047;440030;B;Normal;166.236;1/18/2019;12:04:00;Ewallet;8.7
827-26-2100;220026;A;Member;319.788;3/21/2019;16:21:00;Ewallet;8.8
175-54-2529;440031;A;Member;186.228;03/03/2019;17:01:00;Credit card;9.6
139-52-2867;550028;C;Normal;1.654.485;2/13/2019;10:50:00;Credit card;4.8
407-63-8975;440032;A;Normal;465.444;3/23/2019;19:16:00;Ewallet;4.4
342-65-4817;330034;C;Member;273.42;1/28/2019;16:47:00;Ewallet;9.9
130-98-8941;550029;C;Normal;472.311;02/09/2019;10:00:00;Cash;5.7
434-83-9547;440033;C;Member;323.148;1/23/2019;11:51:00;Cash;7.7
851-28-6367;110036;A;Member;162.75;3/23/2019;10:55:00;Ewallet;8
824-88-3614;330035;C;Normal;288.204;1/25/2019;15:00:00;Ewallet;5.7
586-25-0848;110037;A;Normal;90.699;03/04/2019;11:19:00;Credit card;6.7
895-66-0685;440034;B;Member;56.952;03/05/2019;19:46:00;Ewallet;8
305-14-0245;220027;B;Member;793.716;03/03/2019;19:00:00;Ewallet;7.5
732-04-5373;220028;B;Member;195.174;02/08/2019;10:53:00;Cash;7
400-60-7251;220029;A;Normal;777.735;02/10/2019;12:50:00;Ewallet;9.9
593-65-1552;220030;C;Normal;293.202;1/28/2019;20:50:00;Credit card;5.9
284-34-9626;220031;B;Normal;242.676;02/11/2019;10:39:00;Credit card;7.2
437-58-8131;550030;B;Normal;154.392;1/15/2019;13:41:00;Ewallet;4.6
286-43-6208;440035;C;Normal;829.71;3/16/2019;19:08:00;Cash;9.2
641-43-2399;220032;B;Normal;107.31;1/26/2019;20:23:00;Ewallet;5.7
831-07-6050;660026;A;Normal;1.717.275;3/19/2019;11:30:00;Credit card;9.9
556-86-3144;550031;C;Member;780.045;1/13/2019;19:30:00;Cash;5
848-24-9445;330036;C;Member;91.77;3/26/2019;18:03:00;Cash;4.9
856-22-8149;220033;A;Normal;265.545;3/23/2019;10:13:00;Ewallet;6.1
699-01-4164;330037;C;Normal;174.3;03/12/2019;19:58:00;Credit card;8.2
420-11-4919;440036;C;Member;3.747.975;2/17/2019;19:57:00;Credit card;5.5
606-80-4905;110038;C;Member;120.645;1/29/2019;10:01:00;Credit card;6.8
542-41-0513;660027;B;Member;241.458;3/15/2019;11:57:00;Cash;6.6
426-39-2418;660028;C;Normal;4.513.635;1/14/2019;10:02:00;Cash;9.8
875-46-5808;330038;B;Member;271.95;02/06/2019;14:51:00;Ewallet;8.7
394-43-4238;220034;B;Member;932.925;2/15/2019;12:42:00;Credit card;5.4
749-24-1565;330039;A;Normal;2.176.335;01/03/2019;12:02:00;Ewallet;7.9
672-51-8681;660029;C;Member;6.298.425;01/04/2019;18:19:00;Credit card;9.7
263-87-5680;220035;C;Member;299.565;3/18/2019;17:38:00;Ewallet;7.8
573-58-9734;550032;B;Normal;956.655;3/28/2019;13:41:00;Ewallet;5.1
817-69-8206;660030;B;Normal;9.424.485;03/02/2019;19:42:00;Credit card;6.5
888-02-0338;660031;A;Normal;2.478.735;1/25/2019;20:24:00;Ewallet;5.9
677-11-0152;440037;C;Normal;881.307;1/16/2019;18:08:00;Cash;8.8
142-63-6033;220036;B;Normal;484.89;3/20/2019;19:17:00;Ewallet;4.9
656-16-1063;110039;B;Normal;146.223;01/04/2019;13:24:00;Credit card;4.4
891-58-8335;110040;B;Member;2.176.335;03/11/2019;15:53:00;Cash;6.5
802-43-8934;220037;A;Normal;19.194;3/22/2019;15:05:00;Credit card;8.3
560-30-5617;110041;B;Normal;1.300.425;3/24/2019;18:27:00;Cash;8.5
319-74-2561;660032;A;Member;298.116;2/21/2019;16:55:00;Cash;5.5
549-03-9315;550033;B;Normal;796.908;02/12/2019;12:58:00;Ewallet;8.7
790-29-1172;440038;B;Normal;180.621;03/10/2019;18:59:00;Credit card;7.9
239-36-3640;660033;B;Normal;285.705;1/31/2019;13:44:00;Ewallet;6.1
468-01-2051;440039;B;Normal;456.288;03/06/2019;13:46:00;Ewallet;5.4
389-25-3394;660034;C;Normal;620.025;2/17/2019;18:06:00;Cash;9.4
279-62-1445;550034;C;Member;13.167;2/21/2019;12:38:00;Cash;8.2
213-72-6612;440040;A;Normal;90.825;3/20/2019;15:56:00;Cash;6.2
746-68-6593;110042;C;Member;183.036;01/11/2019;14:29:00;Credit card;9.7
836-82-5858;330040;B;Member;6.555.465;1/26/2019;19:14:00;Ewallet;4
583-72-1480;660035;C;Member;155.652;1/31/2019;16:24:00;Ewallet;9.7
466-61-5506;660036;B;Member;571.41;2/26/2019;10:52:00;Cash;5.3
721-86-6247;220038;A;Normal;532.728;03/11/2019;12:55:00;Ewallet;7.4
289-65-5721;550035;B;Normal;170.877;1/26/2019;19:28:00;Cash;6.5
545-46-3100;660037;B;Member;333.585;03/12/2019;13:52:00;Credit card;8.7
418-02-5978;330041;B;Normal;7.946.505;02/11/2019;10:54:00;Cash;8
269-04-5750;550036;B;Member;310.044;2/21/2019;18:31:00;Cash;6.7
157-13-5295;330042;A;Member;545.37;03/09/2019;18:24:00;Ewallet;6.5
645-78-8093;110043;A;Normal;195.594;1/20/2019;18:09:00;Ewallet;4.1
211-30-9270;330043;C;Normal;914.025;1/28/2019;15:16:00;Credit card;4.9
755-12-3214;550037;C;Member;232.155;03/05/2019;17:07:00;Credit card;8.6
346-84-3103;660038;B;Member;69.405;03/02/2019;19:26:00;Cash;4.3
478-06-7835;550038;A;Normal;941.745;01/11/2019;11:20:00;Ewallet;4.9
540-11-4336;440041;A;Normal;235.683;01/11/2019;16:49:00;Credit card;5.6
448-81-5016;330044;A;Normal;125.517;03/11/2019;12:01:00;Credit card;5.8
142-72-4741;550039;C;Member;195.72;2/28/2019;18:37:00;Credit card;6
217-58-1179;220039;A;Member;263.13;01/05/2019;11:25:00;Cash;4.2
376-02-8238;220040;B;Normal;788.508;02/02/2019;18:42:00;Credit card;8.3
530-90-9855;220041;A;Member;399.756;01/01/2019;14:47:00;Cash;5.7
866-05-7563;660039;B;Member;256.41;02/09/2019;19:43:00;Cash;4.8
604-70-6476;550040;A;Member;94.185;1/23/2019;14:04:00;Ewallet;6.8
799-71-1548;660040;A;Member;326.424;01/07/2019;16:11:00;Credit card;8.8
785-13-7708;440042;B;Normal;536.991;1/14/2019;19:06:00;Credit card;4.2
845-51-0542;440043;B;Member;4.398.975;02/02/2019;15:34:00;Ewallet;6.4
662-47-5456;550041;C;Member;369.495;3/17/2019;19:06:00;Credit card;8.4
883-17-4236;110044;C;Normal;30.219;03/02/2019;19:44:00;Credit card;7.2
290-68-2984;220042;A;Normal;99.75;3/16/2019;11:22:00;Cash;5.2
704-11-6354;220043;A;Member;494.76;01/06/2019;11:23:00;Cash;8.9
110-48-7033;550042;B;Member;137.004;1/29/2019;14:12:00;Cash;9
366-93-0948;660041;A;Member;696.675;1/31/2019;10:46:00;Credit card;9.7
729-09-9681;220044;A;Member;163.233;02/05/2019;10:16:00;Ewallet;8.7
151-16-1484;660042;A;Member;135.45;2/13/2019;12:38:00;Ewallet;6.5
380-94-4661;660043;C;Member;276.948;02/07/2019;13:05:00;Credit card;6.9
850-41-9669;660044;A;Normal;709.317;3/19/2019;13:25:00;Ewallet;6.2
821-07-3596;550043;C;Normal;69.09;03/07/2019;14:53:00;Ewallet;5.6
655-85-5130;550044;B;Member;160.86;3/13/2019;19:22:00;Cash;5.7
447-15-7839;110045;A;Member;233.52;02/09/2019;11:00:00;Cash;4.2
154-74-7179;110046;B;Normal;571.725;2/26/2019;19:24:00;Ewallet;7.9
253-12-6086;110047;A;Member;723.24;03/12/2019;12:43:00;Credit card;8.7
808-65-0703;220045;C;Normal;148.974;3/14/2019;17:22:00;Credit card;6.9
571-94-0759;440044;B;Member;783.3;01/08/2019;20:55:00;Cash;9.5
144-51-6085;220046;A;Member;297.108;01/05/2019;16:05:00;Credit card;4.4
731-14-2199;220047;A;Member;373.17;01/04/2019;13:34:00;Ewallet;7
783-09-1637;110048;B;Normal;3.540.075;03/06/2019;18:13:00;Ewallet;6.3
687-15-1097;330045;C;Member;44.352;01/03/2019;19:17:00;Cash;9.7
126-54-1082;220048;A;Member;203.553;01/07/2019;11:44:00;Credit card;8.8
633-91-1052;220049;A;Normal;25.263;1/27/2019;15:51:00;Cash;5.1
477-24-6490;330046;B;Normal;628.173;2/26/2019;16:52:00;Ewallet;7.9
566-19-5475;550045;B;Normal;3.525.795;01/07/2019;20:52:00;Cash;6.2
526-86-8552;220050;C;Member;229.11;01/07/2019;17:36:00;Cash;7.1
376-56-3573;550046;C;Normal;400.764;02/02/2019;13:23:00;Ewallet;6.4
537-72-0426;550047;C;Member;745.395;3/20/2019;16:28:00;Cash;5.7
828-61-5674;110049;A;Member;462.21;3/20/2019;19:57:00;Credit card;9.6
136-08-6195;220051;A;Normal;587.664;2/15/2019;17:01:00;Credit card;6.4
523-38-0215;220052;C;Normal;38.85;03/06/2019;13:29:00;Credit card;7.9
490-29-1201;110050;A;Normal;16.107;01/06/2019;11:09:00;Cash;6.5
667-92-0055;330047;A;Member;628.929;03/04/2019;15:02:00;Ewallet;8.5
565-17-3836;330048;A;Member;200.214;03/12/2019;14:21:00;Cash;9.1
498-41-1961;330049;B;Normal;350.07;2/20/2019;18:01:00;Cash;7.6
593-95-4461;220053;C;Member;78.603;3/24/2019;14:49:00;Cash;6.9
226-71-3580;110051;C;Normal;2.244.375;1/31/2019;12:02:00;Cash;9.5
283-79-9594;440045;B;Normal;3.565.485;1/25/2019;13:30:00;Credit card;5.2
430-60-3493;220054;A;Member;697.368;02/03/2019;14:38:00;Cash;4.2
139-20-0155;660045;B;Member;423.15;1/24/2019;17:37:00;Credit card;7
558-80-4082;660046;C;Normal;2.046.975;3/14/2019;17:20:00;Ewallet;6
278-97-7759;660047;A;Member;65.604;2/18/2019;20:29:00;Cash;4.7
316-68-6352;440046;A;Member;76.356;1/21/2019;10:00:00;Cash;7.1
585-03-5943;330050;B;Normal;190.155;3/13/2019;11:46:00;Ewallet;5.9
211-05-0490;660048;C;Member;272.58;03/03/2019;13:42:00;Cash;7.5
727-75-6477;660049;C;Normal;121.128;3/29/2019;14:44:00;Cash;6.4
744-02-5987;220055;A;Member;493.794;01/10/2019;14:16:00;Ewallet;5.8
307-83-9164;220056;A;Member;252.042;1/25/2019;15:54:00;Cash;4.5
779-06-0012;220057;C;Member;930.405;1/19/2019;10:21:00;Cash;7.7
446-47-6729;550048;C;Normal;209.622;01/02/2019;18:09:00;Credit card;6.7
573-10-3877;330051;B;Member;409.605;03/12/2019;16:46:00;Credit card;4.7
735-06-4124;440047;C;Normal;510.405;2/25/2019;15:31:00;Cash;4.4
439-54-7422;660050;A;Normal;214.998;3/18/2019;17:15:00;Credit card;4.7
396-90-2219;660051;B;Normal;125.664;2/23/2019;12:29:00;Cash;8.6
411-77-0180;660052;A;Member;530.67;3/26/2019;20:14:00;Ewallet;4.3
286-01-5402;110052;A;Normal;2.956.905;3/30/2019;13:22:00;Cash;9.6
803-17-8013;220058;A;Member;745.836;2/17/2019;17:09:00;Cash;4.1
512-98-1403;660053;A;Member;83.412;3/21/2019;10:40:00;Ewallet;4.7
848-42-2560;550049;A;Normal;172.011;03/05/2019;17:43:00;Cash;7.8
532-59-7201;110053;B;Member;503.559;1/31/2019;14:04:00;Cash;5.5
181-94-6432;550050;C;Member;145.593;02/05/2019;19:05:00;Ewallet;9.7
870-76-1733;440048;A;Member;747.075;02/01/2019;10:08:00;Credit card;4.4
423-64-4619;330052;A;Member;1.469.475;03/07/2019;13:12:00;Cash;5
227-07-4446;660054;C;Member;820.365;02/10/2019;20:51:00;Cash;4.4
174-36-3675;440049;C;Member;208.677;2/14/2019;17:29:00;Cash;5.2
428-83-5800;440050;C;Member;66.402;02/09/2019;10:25:00;Cash;7.3
603-07-0961;660055;C;Member;3.926.475;01/10/2019;11:34:00;Cash;4.9
704-20-4138;330053;C;Member;2.180.745;03/11/2019;18:58:00;Credit card;8.1
787-15-1757;330054;C;Member;185.094;2/18/2019;16:28:00;Ewallet;8.4
649-11-3678;440051;C;Normal;2.166.885;2/26/2019;20:26:00;Cash;5.5
622-20-1945;330055;C;Normal;41.391;1/18/2019;15:08:00;Cash;8.4
372-94-8041;330056;A;Normal;96.138;2/15/2019;18:03:00;Ewallet;9.8
563-91-7120;550051;A;Normal;3.242.925;03/08/2019;13:21:00;Cash;6.7
746-54-5508;220059;A;Normal;135.576;1/17/2019;12:48:00;Credit card;9.4
276-54-0879;110054;B;Normal;410.508;03/12/2019;19:53:00;Ewallet;6.4
815-11-1168;440052;A;Member;523.845;03/09/2019;19:09:00;Cash;5.4
719-76-3868;440053;C;Member;395.892;03/12/2019;16:30:00;Cash;8.6
730-61-8757;330057;B;Member;214.746;1/25/2019;10:11:00;Credit card;4
340-66-0321;660056;A;Member;152.712;3/25/2019;13:07:00;Cash;7.6
868-81-1752;220060;B;Normal;208.089;02/07/2019;18:48:00;Cash;6.8
634-97-8956;440054;A;Normal;103.635;2/17/2019;17:27:00;Credit card;9.1
566-71-1091;550052;A;Normal;404.355;02/03/2019;15:59:00;Cash;5.5
